strategy,peakOvr,finalLeague,nhlGames,championships,individualAwards,retirementAge,careerEarnings,wasDemoted,hitUFA
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,SHL,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,SHL,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
CHAOS,56,LIIGA,0,0,0,16,0,false,false
